# TYPE slurm_summary_stopped_jobs untyped
slurm_summary_stopped_jobs{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_mixed_nodes untyped
slurm_summary_mixed_nodes{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_requeue_fed_jobs untyped
slurm_summary_requeue_fed_jobs{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_resv_del_hold_jobs untyped
slurm_summary_resv_del_hold_jobs{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_pending_jobs untyped
slurm_summary_pending_jobs{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_stage_out_jobs untyped
slurm_summary_stage_out_jobs{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_unknown_nodes untyped
slurm_summary_unknown_nodes{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_completed_jobs untyped
slurm_summary_completed_jobs{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_maint_nodes untyped
slurm_summary_maint_nodes{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_out_of_memory_jobs untyped
slurm_summary_out_of_memory_jobs{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_node_fail_jobs untyped
slurm_summary_node_fail_jobs{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_power_down_nodes untyped
slurm_summary_power_down_nodes{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_revoked_jobs untyped
slurm_summary_revoked_jobs{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_invalid_nodes untyped
slurm_summary_invalid_nodes{host="harding-adm"} 1 1745913001000
# TYPE slurm_summary_failing_nodes untyped
slurm_summary_failing_nodes{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_allocated_nodes untyped
slurm_summary_allocated_nodes{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_cancelled_jobs untyped
slurm_summary_cancelled_jobs{host="harding-adm"} 0 1745913001000
# TYPE slurm_summary_perfctrs_nodes untyped
slurm_summary_perfctrs_nodes{host="harding-adm"} 0 1745913001000
